Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
1,S,-62.14416324633826,-33.80020220924775,104.111862,BC,18/19,1
4,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4
6,N,-62.16361536982659,-33.80809159971218,104.233162,BC,18/19,6
7,M,-62.164773234319945,-33.81367146108375,103.859932,BC,18/19,7
9,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9
10,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10
14,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14
15,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15
23,S,-62.20742896225508,-33.844642692435954,115.140739,BC,18/19,23
25,N,-62.17222988165713,-33.81601874228309,103.58934000000001,BC,18/19,25
26,N,-62.17375826278837,-33.81297880842235,103.58934000000001,BC,18/19,26
27,N,-62.17422140858571,-33.817827259273074,103.561348,BC,18/19,27
28,A,-62.17727817084816,-33.81444106857418,103.561348,BC,18/19,28
30,M,-62.183715897431206,-33.81686528691121,103.253433,BC,18/19,30
33,S,-62.05285405239242,-33.75454492603374,102.544304,BC,18/19,33
34,M,-62.05540135427779,-33.75200341815144,102.544304,BC,18/19,34
38,P,-62.07987860966729,-33.765653511638085,100.799461,BC,18/19,38
39,P,-62.088979424585055,-33.773950319917006,102.068436,BC,18/19,39
45,M,-62.03739656140616,-33.74570708551937,97.011208,BC,18/19,45
46,S,-62.03952703207393,-33.74407034842987,97.011208,BC,18/19,46
49,N,-62.14194014651103,-33.87944788148834,110.792633,BC,18/19,49
52,M,-62.14180120277182,-33.884907739368664,108.525276,BC,18/19,52
54,S,-62.13675291358079,-33.88840647867912,108.292007,BC,18/19,54
55,N,-62.13087096195457,-33.886714798468226,106.845757,BC,18/19,55
57,S,-62.146478975324975,-33.87075752803806,113.059998,BC,18/19,57
60,S,-62.14620108784657,-33.8759872272956,108.627914,BC,18/19,60
61,N,-62.14184751735156,-33.87617948954359,110.801964,BC,18/19,61
62,N,-62.145784256628964,-33.87517972112423,110.801964,BC,18/19,62
64,S,-62.14782209813726,-33.87825589422206,107.274963,BC,18/19,64
65,N,-62.1231827417187,-33.89413487386679,108.609253,BC,18/19,65
66,M,-62.12179330432667,-33.89809454630533,108.609253,BC,18/19,66
69,M,-62.119755462818375,-33.90170806748167,107.069687,BC,18/19,69
70,M,-62.12276591050109,-33.89897871989309,107.069687,BC,18/19,70
71,M,-62.12049649609412,-33.90551363165171,104.382454,BC,18/19,71
72,S,-62.12438692079178,-33.90916527593218,104.382454,BC,18/19,72
73,N,-62.12975941204094,-33.89167440226404,106.855087,BC,18/19,73
74,M,-62.133835095057556,-33.89321220533399,106.855087,BC,18/19,74
75,M,-62.12776788511238,-33.89359665176907,105.67009,BC,18/19,75
76,M,-62.130778332795096,-33.895787963357535,105.67009,BC,18/19,76
77,M,-62.12605424566221,-33.89655683127237,106.481857,BC,18/19,77
78,M,-62.12906469334493,-33.89828675873475,106.481857,BC,18/19,78
79,M,-62.125313212386466,-33.89763323470701,106.715126,BC,18/19,79
80,N,-62.12387746041472,-33.90005509275592,106.715126,BC,18/19,80
81,M,-62.204650087471045,-33.86064330361107,111.809685,BC,18/19,81
82,S,-62.207058445617214,-33.86564287989032,111.809685,BC,18/19,82
83,M,-62.20006494407736,-33.861335570095044,112.518814,BC,18/19,83
85,M,-62.196267148539164,-33.86218166595385,113.526527,BC,18/19,85
86,S,-62.19802710256906,-33.86679658668831,113.526527,BC,18/19,86
88,S,-62.19506296946608,-33.86752725959644,116.922897,BC,18/19,88
89,S,-62.20858682674844,-33.847989221964845,110.176811,BC,18/19,89
92,S,-62.2176181697966,-33.85191257240996,111.287163,BC,18/19,92
93,N,-62.21168990359062,-33.85898953318211,107.797485,BC,18/19,93
94,N,-62.21400563257733,-33.863873832519786,107.797485,BC,18/19,94
100,M,-62.1625501344927,-33.873410871384124,115.915184,BC,18/19,100
101,P,-62.156621868286734,-33.869565419392295,116.633652,BC,18/19,101
102,M,-62.158381822316635,-33.87425684757276,116.633652,BC,18/19,102
104,M,-62.15337984770537,-33.8746798325226,116.978882,BC,18/19,104
105,S,-62.190153624014265,-33.86337387770665,114.394279,BC,18/19,105
106,S,-62.19131148850761,-33.86791182177305,114.394279,BC,18/19,106
108,S,-62.18589268267871,-33.86914240909681,117.072189,BC,18/19,108
109,R,-62.17741711458736,-33.866642760016056,111.688385,BC,18/19,109
110,S,-62.17954758525514,-33.8702576135361,111.688385,BC,18/19,110
112,S,-62.17255408371529,-33.87152662155488,114.049049,BC,18/19,112
113,S,-62.07075463745968,-33.89413487386679,109.057129,BC,18/19,113
115,M,-62.073487197663994,-33.89021346366552,109.215752,BC,18/19,115
117,N,-62.07520083711415,-33.888137349980504,107.424255,BC,18/19,117
118,N,-62.06913362716899,-33.885330671525004,107.424255,BC,18/19,118
119,N,-62.07714604946299,-33.88521532659939,107.162994,BC,18/19,119
120,P,-62.07154198531514,-33.88267769878109,107.162994,BC,18/19,120
121,S,-62.053664557537765,-33.912855199658644,110.298111,BC,18/19,121
123,S,-62.058990734207185,-33.90755088406846,108.310669,BC,18/19,123
126,S,-62.05843495925039,-33.89909404620688,112.070938,BC,18/19,126
128,S,-62.06024122786002,-33.89747946361965,112.798737,BC,18/19,128
129,M,-62.08180066472627,-33.852893381866636,108.021423,BC,18/19,129
130,M,-62.07841970040567,-33.85585497344607,108.021423,BC,18/19,130
132,S,-62.073811399722125,-33.85112407036686,108.889175,BC,18/19,132
134,S,-62.07033780624205,-33.847816128824576,107.321617,BC,18/19,134
136,S,-62.06779050435668,-33.84410415819903,106.13662,BC,18/19,136
140,S,-62.07506189337495,-33.87771757193441,108.077408,BC,18/19,140
143,M,-62.084741640539384,-33.87275715676789,105.42749,BC,18/19,143
144,S,-62.08261116987162,-33.8709113472958,105.42749,BC,18/19,144
149,N,-62.09405087106593,-33.93514509027444,107.806816,BC,18/19,149
150,N,-62.08932678393305,-33.93860334364879,107.806816,BC,18/19,150
151,S,-62.08955835683172,-33.933454337505886,107.844139,BC,18/19,151
153,S,-62.11827339626688,-33.91012620895322,106.668472,BC,18/19,153
159,S,-62.105351628521056,-33.92500007013646,110.148819,BC,18/19,159
163,M,-62.06255695684672,-33.918889418142975,114.674202,BC,18/19,163
164,M,-62.05963913832347,-33.922732646641094,114.674202,BC,18/19,164
165,S,-62.05829601551118,-33.9167371344596,113.80645,BC,18/19,165
166,S,-62.05445190539324,-33.92054202764304,113.80645,BC,18/19,166
168,S,-62.05070042443478,-33.91915844978084,114.954124,BC,18/19,168
169,S,-62.08738157158422,-33.93222467804372,109.831573,BC,18/19,169
170,S,-62.08363009062575,-33.93552934758551,109.831573,BC,18/19,170
172,S,-62.07918389097127,-33.93214782373779,115.719238,BC,18/19,172
173,S,-62.07779445357926,-33.92695999774648,118.956993,BC,18/19,173
174,S,-62.07478400589653,-33.92991901869586,118.956993,BC,18/19,174
175,S,-62.071819872793554,-33.923462840456565,116.652313,BC,18/19,175
176,S,-62.06922625632844,-33.927536438461274,116.652313,BC,18/19,176
177,S,-61.99635026511678,-33.64507642496248,112.910706,BC,18/19,177
179,M,-61.9999164877563,-33.642608791437866,115.187393,BC,18/19,179
181,M,-62.00283430627956,-33.6380203473418,118.033257,BC,18/19,181
183,M,-62.00487214778786,-33.63416432290384,117.230812,BC,18/19,183
185,M,-61.96735733820318,-33.68169704169648,110.708656,BC,18/19,185
186,S,-61.963189026027116,-33.67903775350607,110.708656,BC,18/19,186
187,S,-61.98731892206862,-33.65698947291287,109.206421,BC,18/19,187
188,S,-61.98213168913839,-33.655293217252286,109.206421,BC,18/19,188
189,S,-61.98977359479453,-33.654445076883675,108.1987,BC,18/19,189
191,S,-61.992830357056974,-33.65028135747624,107.85347,BC,18/19,191
195,S,-62.014598209532025,-33.611294550798064,111.212517,BC,18/19,195
196,S,-62.01066147025462,-33.608864521870565,111.212517,BC,18/19,196
197,M,-62.020155959100116,-33.60419713133355,107.013702,BC,18/19,197
198,S,-62.0146908386915,-33.60311703801958,107.013702,BC,18/19,198
199,M,-62.021776969390814,-33.601612599785845,106.556503,BC,18/19,199
200,S,-62.01723814057687,-33.59987667690087,106.556503,BC,18/19,200
201,aa,-62.00755839341244,-33.63019243723589,119.367538,BC,18/19,201
202,S,-62.00260273338088,-33.627955760816576,119.367538,BC,18/19,202
203,aa,-62.00945729118153,-33.62722304384402,121.615204,BC,18/19,203
205,S,-62.01205090764665,-33.62429211363415,121.700218,BC,18/19,205
207,P,-62.01223616596559,-33.61596155708259,115.952507,BC,18/19,207
209,M,-62.03967755445806,-33.81980888823778,110.932594,BC,18/19,209
212,S,-62.03022938019231,-33.81830824139673,104.839653,BC,18/19,212
213,S,-62.02617685446557,-33.811959059575635,104.438438,BC,18/19,213
214,S,-62.02578318053783,-33.81580710481694,104.438438,BC,18/19,214
215,S,-62.02177696939083,-33.80997724874901,107.10701,BC,18/19,215
217,X,-62.0673505158492,-33.83856475190533,105.072922,BC,18/19,217
219,X,-62.058272858221336,-33.82750409930627,104.167847,BC,18/19,219
220,N,-62.054243489784454,-33.829639397626686,104.167847,BC,18/19,220
221,N,-62.05051516611585,-33.82377200842254,109.07579,BC,18/19,221
222,N,-62.04935730162249,-33.826407574039074,109.07579,BC,18/19,222
224,N,-62.04474900093894,-33.82583044982896,110.055511,BC,18/19,224
226,S,-62.01084672857359,-33.789579246979685,100.276947,BC,18/19,226
227,X,-62.010454,-33.783648,95.07975,BC,18/19,227
228,S,-62.010454,-33.783648,95.07975,BC,18/19,228
233,R,-62.016010804213934,-33.80695634198545,103.878593,BC,18/19,233
234,S,-62.01411190644483,-33.809188359820546,103.878593,BC,18/19,234
235,M,-62.00751207883271,-33.80266531655731,104.326469,BC,18/19,235
236,X,-62.00776680902126,-33.80605197335659,104.326469,BC,18/19,236
237,M,-62.00734997780365,-33.80135679962564,104.2145,BC,18/19,237
238,X,-62.00376059787426,-33.79937474322885,104.2145,BC,18/19,238
239,S,-62.01100882960265,-33.797873737940165,103.066826,BC,18/19,239
242,S,-61.976434995831106,-33.57749943232254,104.261154,BC,18/19,242
246,S,-61.97129407748063,-33.584328965406044,104.158516,BC,18/19,246
249,M,-61.98282640783442,-33.55801107085593,105.810043,BC,18/19,249
251,M,-61.98060330800718,-33.560481126399935,104.904968,BC,18/19,251
256,S,-61.97773180406367,-33.57387222892596,99.978363,BC,18/19,256
258,M,-61.9793296570645,-33.546132590743426,108.665237,BC,18/19,258
263,M,-61.95874282637267,-33.54101787623283,109.477005,BC,18/19,263
271,M,-61.98460951915418,-33.544646459613574,108.599922,BC,18/19,271
274,S,-62.030854627018726,-33.57807822727298,105.987328,BC,18/19,274
276,S,-62.03460610797719,-33.57364070012989,103.682648,BC,18/19,276
278,S/M,-62.03233669357021,-33.5725988128629,109.66362,BC,18/19,278
281,M,-62.026130539885834,-33.59725343824283,108.366653,BC,18/19,281
284,S,-62.021035936115084,-33.58822580140337,105.912682,BC,18/19,284
285,S,-62.031873547772875,-33.588573035674735,110.120827,BC,18/19,285
286,S,-62.02543582118982,-33.58375021237681,110.120827,BC,18/19,286
287,S,-62.03493031003533,-33.58351871007823,105.632767,BC,18/19,287
292,S,-61.990931459287886,-33.55256898049552,108.973152,BC,18/19,292
293,S,-61.9875504949673,-33.55129525026339,110.307442,BC,18/19,293
295,S,-61.98467899102378,-33.55527077033683,107.302956,BC,18/19,295
297,S,-62.02140645275295,-33.562024875242706,110.130157,BC,18/19,297
298,S,-62.01733076973634,-33.56650159083608,110.130157,BC,18/19,298
301,S,-62.01177302016825,-33.55708478181532,107.61087,BC,18/19,301
303,S,-62.00468688946892,-33.55411287075166,110.307442,BC,18/19,303
306,N,-61.91944490546825,-33.67764063073843,103.066826,BC,18/19,306
308,N,-61.925257385224874,-33.68037704298464,103.281425,BC,18/19,308
309,M,-61.924979497746484,-33.55553129560459,109.644958,BC,18/19,309
310,X,-61.929217281792155,-33.557403194793466,109.644958,BC,18/19,310
316,M,-61.896287615601196,-33.60258663009955,107.536224,BC,18/19,316
318,S,-61.95691340047318,-33.54678879635486,107.554886,BC,18/19,318
321,S,-61.94065698298649,-33.54507107111574,112.47216,BC,18/19,321
322,X,-61.942833768233996,-33.54810119262814,112.47216,BC,18/19,322
323,S,-61.92984252861857,-33.54895037959495,110.232796,BC,18/19,323
327,S,-61.89732969364521,-33.67041377128443,103.822609,BC,18/19,327
328,M,-61.90013172571912,-33.66632791802778,103.822609,BC,18/19,328
329,S,-61.90073381525567,-33.67369002282455,104.755676,BC,18/19,329
330,S,-61.905017913881075,-33.670124684274136,104.755676,BC,18/19,330
331,S,-61.906939968940044,-33.67686979466611,104.513077,BC,18/19,331
333,S,-61.86988830515273,-33.6255358429082,102.049774,BC,18/19,333
340,M,-61.88556579039273,-33.65879170791608,105.42749,BC,18/19,340
342,M,-61.79064405922764,-33.846546768413674,100.332932,BC,18/19,342
345,S,-61.806344701757524,-33.87473751212604,92.924362,BC,18/19,345
346,S,-61.81083721599173,-33.872622567843,92.924362,BC,18/19,346
347,S,-61.72209848122112,-33.8395841834957,105.455482,BC,18/19,347
348,S,-61.723117401975266,-33.84404645790088,105.455482,BC,18/19,348
349,S,-61.707648332344085,-33.842315430838674,103.328079,BC,18/19,349
350,M,-61.708481994779305,-33.84635443943345,103.328079,BC,18/19,350
353,M,-61.708389365619816,-33.838545517230116,101.349976,BC,18/19,353
360,S,-61.74984091448188,-33.8381223532806,102.049774,BC,18/19,360
361,S,-61.73904961740381,-33.83773765696285,102.628281,BC,18/19,361
362,S,-61.73974433609983,-33.84019968347403,102.628281,BC,18/19,362
364,S,-61.90860729381048,-33.80945773734567,106.98571,BC,18/19,364
366,S,-61.89985383824073,-33.81099702121874,104.737015,BC,18/19,366
367,M,-61.88683944133543,-33.80968863169215,101.452614,BC,18/19,367
368,S,-61.89031303481549,-33.81334437580361,101.452614,BC,18/19,368
370,S,-61.87669654837367,-33.81499902967501,100.519547,BC,18/19,370
375,S,-61.93734549053551,-33.797161713406226,101.219345,BC,18/19,375
377,S,-61.919537534627736,-33.80418548022191,105.651428,BC,18/19,377
378,S,-61.92000068042507,-33.806032731367004,105.651428,BC,18/19,378
379,M,-61.80087958134888,-33.825080182532155,103.440048,BC,18/19,379
382,M,-61.79383976522929,-33.830889772785184,103.216118,BC,18/19,382
386,s,-61.78397475974593,-33.83489085039415,104.662369,BC,18/19,386
388,S,-61.8706293384285,-33.815807104816926,96.619316,BC,18/19,388
391,S,-61.827186262637866,-33.81992432151954,105.418159,BC,18/19,391
394,M,-61.81653390929902,-33.82623443718505,103.524025,BC,18/19,394
396,M,-61.699358022571666,-33.77624094447562,97.766991,BC,18/19,396
399,M,-61.69569917077266,-33.76757859673393,98.177544,BC,18/19,399
400,S,-61.69217926271287,-33.77273761153162,98.177544,BC,18/19,400
401,M,-61.6900487920451,-33.76472945543132,98.168213,BC,18/19,401
402,M,-61.686853086043456,-33.769503638583544,98.168213,BC,18/19,402
404,S,-61.722978458236085,-33.788828661744716,101.919151,BC,18/19,404
407,M,-61.715799698377296,-33.77966714251294,100.706161,BC,18/19,407
409,S,-61.70908408431584,-33.775009019552044,98.168213,BC,18/19,409
411,M,-61.65786015912988,-33.74736304655037,94.911797000000007,BC,18/19,411
413,M,-61.65285818451861,-33.74462876812374,94.351959,BC,18/19,413
414,S,-61.647624637008654,-33.748710898202674,94.351959,BC,18/19,414
415,S,-61.64535522260168,-33.74039238996242,95.872856,BC,18/19,415
416,S,-61.641325854164805,-33.74451323331296,95.872856,BC,18/19,416
417,S,-61.64039956257012,-33.737850462634604,94.613213,BC,18/19,417
419,S,-61.68282371760659,-33.76060958361329,97.822975,BC,18/19,419
420,S,-61.67786805757503,-33.76503747527397,97.822975,BC,18/19,420
421,S,-61.675783901487,-33.75722112941229,98.065575,BC,18/19,421
422,R,-61.67268082464481,-33.76091761826243,98.065575,BC,18/19,422
423,S,-61.672125049688,-33.754487165327575,99.922379,BC,18/19,423
424,R,-61.66883671452688,-33.758992383543806,99.922379,BC,18/19,424
425,S,-61.662584246262774,-33.74978916427142,96.964554,BC,18/19,425
427,M,-61.71691124829089,-33.829312373414396,97.085846,BC,18/19,427
429,M,-61.719551179335745,-33.82608053746493,95.966164,BC,18/19,429
430,S,-61.71589232753674,-33.823541152090364,95.966164,BC,18/19,430
432,M,-61.718578573161324,-33.81907780716845,97.916283,BC,18/19,432
433,P,-61.72751728705001,-33.81673060991713,95.807549,BC,18/19,433
435,P,-61.7090377697361,-33.83766071749152,101.788521,BC,18/19,435
436,M,-61.706119951212855,-33.83542944269318,101.788521,BC,18/19,436
437,S,-61.71079772376599,-33.836622027849245,103.83194,BC,18/19,437
438,M,-61.70755570318462,-33.83431378345054,103.83194,BC,18/19,438
439,M,-61.71232610489723,-33.83462155297195,103.449379,BC,18/19,439
440,M,-61.70806516356168,-33.833236581398786,103.449379,BC,18/19,440
441,M,-61.713854486028445,-33.83335199655364,101.079384,BC,18/19,441
442,S,-61.71028826338892,-33.831159081964095,101.079384,BC,18/19,442
443,G,-61.736131798880564,-33.804070025701286,103.496033,BC,18/19,443
444,S,-61.733028722038384,-33.8021457607587,103.496033,BC,18/19,444
446,S,-61.73423290111146,-33.800567831219304,103.038834,BC,18/19,446
447,S,-61.737335977953656,-33.7921003953677,106.164612,BC,18/19,447
449,S,-61.73159297006662,-33.78790485549988,102.077766,BC,18/19,449
450,M,-61.72913829734071,-33.790714735213236,102.077766,BC,18/19,450
455,m,-61.73390869905332,-33.80784145947295,98.840019,BC,18/19,455
457,S,-61.73557602392375,-33.80572485894542,102.964188,BC,18/19,457
458,S,-61.73168559922608,-33.803608206061156,102.964188,BC,18/19,458
463,P,-61.4090350795082,-33.64451735793893,79.040291,BC,18/19,463
466,P,-61.3989153438363,-33.64399684399826,78.974976,BC,18/19,466
468,S,-61.54976193003039,-33.684799440622996,101.452614,BC,18/19,468
469,S,-61.546473594869276,-33.67720703629805,100.071671,BC,18/19,469
472,S,-61.536469645646704,-33.68025178657962,92.849716,BC,18/19,472
473,X,-61.52113951975471,-33.67123284587023,82.856544,BC,18/19,473
475,S,-61.36332258931062,-33.624909159859214,95.266365,BC,18/19,475
477,S,-61.351836573536545,-33.620821146277116,95.499634,BC,18/19,477
478,S,-61.34989136118771,-33.62359793134861,95.499634,BC,18/19,478
479,S,-61.348316665476766,-33.618892770662605,96.843254,BC,18/19,479
480,S,-61.345954621910316,-33.62174675124383,96.843254,BC,18/19,480
481,S,-61.34113790561796,-33.616964351895234,98.905334,BC,18/19,481
483,P,-61.39884587196669,-33.63888792904601,82.595284,BC,18/19,483
487,R,-61.38124633166772,-33.629459739287846,91.095543,BC,18/19,487
488,R,-61.37837482772421,-33.63466561584435,91.095543,BC,18/19,488
490,S,-61.36804667644349,-33.63069375329364,92.691093,BC,18/19,490
494,M,-61.61821487887745,-33.716163990912996,95.415657,BC,18/19,494
495,S,-61.60362578626121,-33.70341148275698,96.302071,BC,18/19,495
500,S,-61.63368394850866,-33.73981468582008,91.599403,BC,18/19,500
503,S,-61.63122927578275,-33.727489404008246,89.313385,BC,18/19,503
504,M,-61.62770936772295,-33.73049385463057,89.313385,BC,18/19,504
509,M,-61.57347499485428,-33.68772831077182,99.586472,BC,18/19,509
510,S,-61.57171504082439,-33.69007904224589,99.586472,BC,18/19,510
511,X,-61.56675938079283,-33.68298811572091,98.951988,BC,18/19,511
512,M,-61.56263738319649,-33.685917047586386,98.951988,BC,18/19,512
513,S,-61.56055322710846,-33.68071427086036,99.082619,BC,18/19,513
514,S,-61.556477544091855,-33.68676487765874,99.082619,BC,18/19,514
516,S,-61.59116716431273,-33.70194732741423,96.152779,BC,18/19,516
518,S,-61.58843460410843,-33.69855655607277,96.395378,BC,18/19,518
519,S,-61.58602624596224,-33.69354721717267,97.151161,BC,18/19,519
520,S,-61.583710516975536,-33.69636018958427,97.151161,BC,18/19,520
523,M,-61.318026930330625,-33.60805449700587,95.229042,BC,18/19,523
525,S,-61.31561857218445,-33.60774591410303,92.243217,BC,18/19,525
528,S,-61.309875564297414,-33.61090883649431,90.84362,BC,18/19,528
529,M,-61.31006082261634,-33.607090171767155,89.565315,BC,18/19,529
532,M,-61.33261602294689,-33.61920131366084,98.812027,BC,18/19,532
536,S,-61.32478885897181,-33.6139173622916,97.822975,BC,18/19,536
539,S,-61.306633543716025,-33.606472997953695,91.543419,BC,18/19,539
540,S,-61.30431781472932,-33.60925024532154,91.543419,BC,18/19,540
541,M,-61.81032775561466,-33.881235831167814,96.208763,BC,18/19,541
542,S,-61.81593181976249,-33.878659633709205,96.208763,BC,18/19,542
543,M,-61.81370871993524,-33.88577282562848,97.655022,BC,18/19,543
544,S,-61.82000750277909,-33.88235087759093,97.655022,BC,18/19,544
546,S,-61.82255480466446,-33.88596506582826,98.662735,BC,18/19,546
547,M,-61.818479121647854,-33.89238563963026,100.920761,BC,18/19,547
548,S,-61.82352741083888,-33.89007890227289,100.920761,BC,18/19,548
550,M,-61.78605891583396,-33.84085364734371,104.233162,BC,18/19,550
1,X,-61.89829046800678,-33.5994981626966,106.229927,BC,19/20,551
